<a href="vypujcni_protokol.html">Půjčovna</a>|Po|9.00|15.00|
<a href="vypujcni_protokol.html">Půjčovna</a>|St|9.00|15.00|
<a href="studovna.html">Studovna v Rettigové</a>|Po|9.00|15.00|
<a href="studovna.html">Studovna v Rettigové</a>|St|9.00|15.00|
<a href="celetna.html">Studovna v Celetné</a>|Po|13.00|17.30|
<a href="celetna.html">Studovna v Celetné</a>|St|9.00|17.30|
